%time core_I mic_click_I mic_click_I battery
0.338 0.243444444444444 0.002 0.16 0.999999413916851
0.339 0.243444444444444 0.002 0.16 0.999999411943896
0.34 0.243444444444444 0.002 0.16 0.999999410059077
0.341 0.243444444444444 0.002 0.16 0.999999408174251
0.342 0.243444444444444 0.002 0.16 0.999999406289425
0.343 0.243444444444444 0.002 0.16 0.999999404404598
0.344 0.243444444444444 0.002 0.16 0.999999402519772
0.345 0.243444444444444 0.002 0.16 0.999999400634946
0.346 0.243444444444444 0.002 0.16 0.99999939875012
0.347 0.243444444444444 0.002 0.16 0.999999396865294
0.348 0.243444444444444 0.002 0.16 0.999999394980468
0.349 0.243444444444444 0.002 0.16 0.999999393095642
0.35 0.243444444444444 0.002 0.16 0.999999391210816
0.351 0.243444444444444 0.002 0.16 0.99999938932599
0.352 0.243444444444444 0.002 0.16 0.999999387441164
0.353 0.243444444444444 0.002 0.16 0.999999385556338
0.354 0.243444444444444 0.002 0.16 0.999999383671512
0.355 0.243444444444444 0.002 0.16 0.999999381786686
0.356 0.243444444444444 0.002 0.16 0.999999379901859
0.357 0.243444444444444 0.002 0.16 0.999999378017033
0.358 0.243444444444444 0.002 0.16 0.999999376132207
0.359 0.243444444444444 0.002 0.16 0.999999374247381
0.36 0.243444444444444 0.002 0.16 0.999999372362555
0.361 0.243444444444444 0.002 0.16 0.999999370477729
0.362 0.243444444444444 0.002 0.16 0.999999368592903
0.363 0.243444444444444 0.002 0.16 0.999999366708077
0.364 0.243444444444444 0.002 0.16 0.999999364823251
0.365 0.288017204788072 0.12 0.00199999999999986 0.999999362938425
0.366 0.243444444444444 0.12 0.002 0.999999361053599
0.367 0.243444444444444 0.12 0.002 0.999999359290202
0.368 0.243444444444444 0.12 0.002 0.999999357564167
0.369 0.243444444444444 0.12 0.002 0.999999355838131
0.37 0.243444444444444 0.12 0.002 0.999999354196152
0.371 0.243444444444444 0.12 0.002 0.999999352554168
0.372 0.243444444444444 0.12 0.002 0.999999350912184
0.373 0.243444444444444 0.12 0.002 0.999999349270199
0.374 0.243444444444444 0.12 0.002 0.999999347628215
0.375 0.243444444444444 0.12 0.002 0.999999345986231
0.376 0.243444444444444 0.12 0.002 0.999999344344247
0.377 0.243444444444444 0.12 0.002 0.999999342702263
0.378 0.243444444444444 0.12 0.002 0.999999341060278
0.379 0.243444444444444 0.12 0.002 0.999999339418294
0.38 0.243444444444444 0.12 0.002 0.99999933777631
0.381 0.243444444444444 0.12 0.002 0.999999336134326
0.382 0.243444444444444 0.12 0.002 0.999999334492341
0.383 0.243444444444444 0.12 0.002 0.999999332850357
0.384 0.243444444444444 0.12 0.002 0.999999331208373
0.385 0.243444444444444 0.12 0.002 0.999999329566389
0.386 0.243444444444444 0.12 0.002 0.999999327924405
0.387 0.243444444444444 0.12 0.002 0.999999326282421
0.388 0.243444444444444 0.12 0.002 0.999999324640437
0.389 0.243444444444444 0.12 0.002 0.999999322998453
0.39 0.243444444444444 0.12 0.002 0.999999321356468
0.391 0.243444444444444 0.12 0.002 0.999999319714484
0.392 0.243444444444444 0.12 0.002 0.9999993180725
0.393 0.243444444444444 0.12 0.002 0.999999316430516
0.394 0.243444444444444 0.12 0.002 0.999999314788532
0.395 0.290179617934674 0.0019999999999999 0.16 0.999999313146548
0.396 0.243444444444444 0.002 0.16 0.999999311504564
0.397 0.243444444444444 0.002 0.16 0.99999930974115
0.398 0.243444444444444 0.002 0.16 0.99999930776794
0.399 0.243444444444444 0.002 0.16 0.999999305794747
0.4 0.243444444444444 0.002 0.16 0.999999303909927
0.401 0.243444444444444 0.002 0.16 0.999999302025101
0.402 0.243444444444444 0.002 0.16 0.999999300140275
0.403 0.243444444444444 0.002 0.16 0.99999929825545
0.404 0.243444444444444 0.002 0.16 0.999999296370624
0.405 0.243444444444444 0.002 0.16 0.999999294485798
0.406 0.243444444444444 0.002 0.16 0.999999292600972
0.407 0.243444444444444 0.002 0.16 0.999999290716146
0.408 0.243444444444444 0.002 0.16 0.99999928883132
0.409 0.243444444444444 0.002 0.16 0.999999286946494
0.41 0.243444444444444 0.002 0.16 0.999999285061668
0.411 0.243444444444444 0.002 0.16 0.999999283176842
0.412 0.243444444444444 0.002 0.16 0.999999281292016
0.413 0.243444444444444 0.002 0.16 0.99999927940719
0.414 0.243444444444444 0.002 0.16 0.999999277522364
0.415 0.243444444444444 0.002 0.16 0.999999275637538
0.416 0.243444444444444 0.002 0.16 0.999999273752712
0.417 0.243444444444444 0.002 0.16 0.999999271867886
0.418 0.243444444444444 0.002 0.16 0.99999926998306
0.419 0.243444444444444 0.002 0.16 0.999999268098234
0.42 0.243444444444444 0.002 0.16 0.999999266213408
0.421 0.243444444444444 0.002 0.16 0.999999264328582
0.422 0.243444444444444 0.002 0.16 0.999999262443756
0.423 0.243444444444444 0.002 0.16 0.99999926055893
0.424 0.243444444444444 0.002 0.16 0.999999258674104
0.425 0.28781151932281 0.12 0.00199999999999986 0.999999256789278
0.426 0.243444444444444 0.12 0.002 0.999999254904452
0.427 0.243444444444444 0.12 0.002 0.999999253141055
0.428 0.243444444444444 0.12 0.002 0.999999251415409
0.429 0.243444444444444 0.12 0.002 0.999999249689761
0.43 0.243444444444444 0.12 0.002 0.999999248047782
0.431 0.243444444444444 0.12 0.002 0.999999246405798
0.432 0.243444444444444 0.12 0.002 0.999999244763814
0.433 0.243444444444444 0.12 0.002 0.99999924312183
0.434 0.243444444444444 0.12 0.002 0.999999241479846
0.435 0.243444444444444 0.12 0.002 0.999999239837862
0.436 0.243444444444444 0.12 0.002 0.999999238195878
0.437 0.243444444444444 0.12 0.002 0.999999236553894
0.438 0.243444444444444 0.12 0.002 0.99999923491191
0.439 0.243444444444444 0.12 0.002 0.999999233269925
0.44 0.243444444444444 0.12 0.002 0.999999231627941
0.441 0.243444444444444 0.12 0.002 0.999999229985957
0.442 0.243444444444444 0.12 0.002 0.999999228343973
0.443 0.243444444444444 0.12 0.002 0.999999226701989
0.444 0.243444444444444 0.12 0.002 0.999999225060005
0.445 0.243444444444444 0.12 0.002 0.999999223418021
0.446 0.243444444444444 0.12 0.002 0.999999221776037
0.447 0.243444444444444 0.12 0.002 0.999999220134053
0.448 0.243444444444444 0.12 0.002 0.999999218492069
0.449 0.243444444444444 0.12 0.002 0.999999216850084
0.45 0.243444444444444 0.12 0.002 0.9999992152081
0.451 0.243444444444444 0.12 0.002 0.999999213566116
0.452 0.243444444444444 0.12 0.002 0.999999211924132
0.453 0.243444444444444 0.12 0.002 0.999999210282148
0.454 0.243444444444444 0.12 0.002 0.999999208640164
0.455 0.290196231920893 0.0019999999999999 0.16 0.99999920699818
0.456 0.243444444444444 0.002 0.16 0.999999205356196
0.457 0.243444444444444 0.002 0.16 0.999999203592782
0.458 0.243444444444444 0.002 0.16 0.999999201619541
0.459 0.243444444444444 0.002 0.16 0.999999199646317
0.46 0.243444444444444 0.002 0.16 0.999999197761497
0.461 0.243444444444444 0.002 0.16 0.999999195876672
0.462 0.243444444444444 0.002 0.16 0.999999193991846
0.463 0.243444444444444 0.002 0.16 0.99999919210702
0.464 0.243444444444444 0.002 0.16 0.999999190222194
0.465 0.243444444444444 0.002 0.16 0.999999188337368
0.466 0.243444444444444 0.002 0.16 0.999999186452542
0.467 0.243444444444444 0.002 0.16 0.999999184567716
0.468 0.243444444444444 0.002 0.16 0.999999182682891
0.469 0.243444444444444 0.002 0.16 0.999999180798065
0.47 0.243444444444444 0.002 0.16 0.999999178913239
0.471 0.243444444444444 0.002 0.16 0.999999177028413
0.472 0.243444444444444 0.002 0.16 0.999999175143587
0.473 0.243444444444444 0.002 0.16 0.999999173258761
0.474 0.243444444444444 0.002 0.16 0.999999171373935
0.475 0.243444444444444 0.002 0.16 0.99999916948911
0.476 0.243444444444444 0.002 0.16 0.999999167604284
0.477 0.243444444444444 0.002 0.16 0.999999165719458
0.478 0.243444444444444 0.002 0.16 0.999999163834632
0.479 0.243444444444444 0.002 0.16 0.999999161949806
0.48 0.243444444444444 0.002 0.16 0.99999916006498
0.481 0.243444444444444 0.002 0.16 0.999999158180155
0.482 0.243444444444444 0.002 0.16 0.999999156295329
0.483 0.243444444444444 0.002 0.16 0.999999154410503
0.484 0.243444444444444 0.002 0.16 0.999999152525677
0.485 0.28781151932281 0.12 0.00199999999999986 0.999999150640851
0.486 0.243444444444444 0.12 0.002 0.999999148756025
0.487 0.243444444444444 0.12 0.002 0.999999146992628
0.488 0.243444444444444 0.12 0.002 0.999999145266982
0.489 0.243444444444444 0.12 0.002 0.999999143541334
0.49 0.243444444444444 0.12 0.002 0.999999141899356
0.491 0.243444444444444 0.12 0.002 0.999999140257372
0.492 0.243444444444444 0.12 0.002 0.999999138615388
0.493 0.243444444444444 0.12 0.002 0.999999136973404
0.494 0.243444444444444 0.12 0.002 0.99999913533142
0.495 0.243444444444444 0.12 0.002 0.999999133689436
0.496 0.243444444444444 0.12 0.002 0.999999132047452
