%time SoC_Batt I_Tot_Bus I_to_Batt Air Temp Meth Mic CPU RF
304 0.794162051011 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
305 0.793548297859 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
306 0.792934544708 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
307 0.792320791556 0.159 12.7660655571 0.002 0.002 0.002 0.15 0.002 0.001
308 0.791707038404 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
309 0.791702435879 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
310 0.791697833354 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
311 0.79169323083 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
312 0.791688628305 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
313 0.79168402578 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
314 0.791679423256 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
315 0.791674820731 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
316 0.791670218206 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
317 0.791665615681 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
318 0.791661013157 0.159 0.0957325144286 0.002 0.002 0.002 0.15 0.002 0.001
319 0.791656410632 13.009 0.0957325144286 0.002 0.002 0.002 0.002 13 0.001
320 0.791651808107 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
321 0.791208456741 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
322 0.790765105375 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
323 0.790321754009 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
324 0.789878402643 13.009 9.22170841429 0.002 0.002 0.002 0.002 13 0.001
325 0.789435051277 0.11 9.22170841429 0.002 0.002 0.002 0.002 0.002 0.1
326 0.788991699911 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
327 0.788988683138 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
328 0.788985666365 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
329 0.788982649593 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
330 0.78897963282 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
